Date,SP500,IBEX35
2018-01-19,2810.300048828125,10479.5
2018-01-22,2832.969970703125,10584.0
2018-01-23,2839.1298828125,10609.5
2018-01-24,2837.5400390625,10563.0
2018-01-25,2839.25,10595.2998046875
2018-01-26,2872.8701171875,10595.400390625
2018-01-29,2853.530029296875,10555.599609375
2018-01-30,2822.429931640625,10428.2001953125
2018-01-31,2823.81005859375,10451.5
2018-02-01,2821.97998046875,10399.0
2018-02-02,2762.1298828125,10211.2001953125
2018-02-05,2648.93994140625,10064.5
2018-02-06,2695.139892578125,9810.0
2018-02-07,2681.659912109375,9976.900390625
2018-02-08,2581.0,9756.2998046875
2018-02-09,2619.550048828125,9639.599609375
2018-02-12,2656.0,9771.099609375
2018-02-13,2662.93994140625,9650.7001953125
2018-02-14,2698.6298828125,9686.2001953125
2018-02-15,2731.199951171875,9714.900390625
2018-02-16,2732.219970703125,9832.099609375
2018-02-20,2716.260009765625,9895.2998046875
2018-02-21,2701.330078125,9823.2998046875
2018-02-22,2703.9599609375,9876.5
2018-02-23,2747.300048828125,9822.400390625
2018-02-26,2779.60009765625,9902.400390625
2018-02-27,2744.280029296875,9900.2001953125
2018-02-28,2713.830078125,9840.2998046875
2018-03-01,2677.669921875,9738.599609375
2018-03-02,2691.25,9531.099609375
2018-03-05,2720.93994140625,9590.7998046875
2018-03-06,2728.1201171875,9586.7998046875
2018-03-07,2726.800048828125,9599.2998046875
2018-03-08,2738.969970703125,9646.2001953125
2018-03-09,2786.570068359375,9686.099609375
2018-03-12,2783.02001953125,9727.5
2018-03-13,2765.31005859375,9691.7001953125
2018-03-14,2749.47998046875,9688.5
2018-03-15,2747.330078125,9684.2001953125
2018-03-16,2752.010009765625,9761.0
2018-03-19,2712.919921875,9664.099609375
2018-03-20,2716.93994140625,9681.599609375
2018-03-21,2711.929931640625,9630.900390625
2018-03-22,2643.68994140625,9487.400390625
2018-03-23,2588.260009765625,9393.099609375
2018-03-26,2658.550048828125,9381.0
2018-03-27,2612.6201171875,9473.599609375
2018-03-28,2605.0,9555.0
2018-03-29,2640.8701171875,9600.400390625
2018-04-03,2614.449951171875,9549.599609375
2018-04-04,2644.68994140625,9513.2998046875
2018-04-05,2662.840087890625,9740.900390625
2018-04-06,2604.469970703125,9682.7998046875
2018-04-09,2613.159912109375,9742.7998046875
2018-04-10,2656.8701171875,9763.5
2018-04-11,2642.18994140625,9735.7998046875
2018-04-12,2663.989990234375,9747.0
2018-04-13,2656.300048828125,9767.2998046875
2018-04-16,2677.840087890625,9766.099609375
2018-04-17,2706.389892578125,9803.900390625
2018-04-18,2708.639892578125,9857.2998046875
2018-04-19,2693.1298828125,9868.0
2018-04-20,2670.139892578125,9884.2001953125
2018-04-23,2670.2900390625,9922.0
2018-04-24,2634.56005859375,9883.400390625
2018-04-25,2639.39990234375,9858.0
2018-04-26,2666.93994140625,9902.2998046875
2018-04-27,2669.909912109375,9925.400390625
2018-04-30,2648.050048828125,9980.599609375
2018-05-02,2635.669921875,10088.900390625
2018-05-03,2629.72998046875,10038.7998046875
2018-05-04,2663.419921875,10104.099609375
2018-05-07,2672.6298828125,10140.900390625
2018-05-08,2671.919921875,10168.099609375
2018-05-09,2697.7900390625,10221.2001953125
2018-05-10,2723.070068359375,10246.599609375
2018-05-11,2727.719970703125,10271.400390625
2018-05-14,2730.1298828125,10257.7998046875
2018-05-15,2711.449951171875,10207.599609375
2018-05-16,2722.4599609375,10111.0
2018-05-17,2720.1298828125,10216.400390625
2018-05-18,2712.969970703125,10112.400390625
2018-05-21,2733.010009765625,10066.5
2018-05-22,2724.43994140625,10138.7998046875
2018-05-23,2733.2900390625,10025.0
2018-05-24,2727.760009765625,9996.0
2018-05-25,2721.330078125,9826.5
2018-05-29,2689.860107421875,9521.2998046875
2018-05-30,2724.010009765625,9566.2001953125
2018-05-31,2705.27001953125,9465.5
2018-06-01,2734.6201171875,9632.400390625
2018-06-04,2746.8701171875,9750.2998046875
2018-06-05,2748.800048828125,9686.400390625
2018-06-06,2772.35009765625,9791.599609375
2018-06-07,2770.3701171875,9829.0
2018-06-08,2779.030029296875,9746.2998046875
2018-06-11,2782.0,9898.2998046875
2018-06-12,2786.85009765625,9914.400390625
2018-06-13,2775.6298828125,9899.099609375
2018-06-14,2782.489990234375,9957.7001953125
2018-06-15,2779.659912109375,9851.0
2018-06-18,2773.75,9769.400390625
2018-06-19,2762.590087890625,9755.400390625
2018-06-20,2767.320068359375,9788.900390625
2018-06-21,2749.760009765625,9702.099609375
2018-06-22,2754.8798828125,9792.099609375
2018-06-25,2717.070068359375,9617.900390625
2018-06-26,2723.06005859375,9637.400390625
2018-06-27,2699.6298828125,9658.599609375
2018-06-28,2716.31005859375,9589.0
2018-06-29,2718.3701171875,9622.7001953125
2018-07-02,2726.7099609375,9558.2998046875
2018-07-03,2713.219970703125,9660.900390625
2018-07-05,2736.610107421875,9866.2001953125
2018-07-06,2759.820068359375,9905.0
2018-07-09,2784.169921875,9927.0
2018-07-10,2793.840087890625,9889.2998046875
2018-07-11,2774.02001953125,9733.599609375
2018-07-12,2798.2900390625,9767.400390625
2018-07-13,2801.31005859375,9734.7998046875
2018-07-16,2798.429931640625,9716.900390625
2018-07-17,2809.550048828125,9719.400390625
2018-07-18,2815.6201171875,9753.2001953125
2018-07-19,2804.489990234375,9721.099609375
2018-07-20,2801.830078125,9724.7998046875
2018-07-23,2806.97998046875,9726.099609375
2018-07-24,2820.39990234375,9773.099609375
2018-07-25,2846.070068359375,9703.099609375
2018-07-26,2837.43994140625,9780.0
2018-07-27,2818.820068359375,9867.900390625
2018-07-30,2802.60009765625,9854.099609375
2018-07-31,2816.2900390625,9870.7001953125
2018-08-01,2813.360107421875,9799.2998046875
2018-08-02,2827.219970703125,9698.2001953125
2018-08-03,2840.35009765625,9739.7998046875
2018-08-06,2850.39990234375,9722.7001953125
2018-08-07,2858.449951171875,9772.7998046875
2018-08-08,2857.699951171875,9747.099609375
2018-08-09,2853.580078125,9754.599609375
2018-08-10,2833.280029296875,9602.099609375
2018-08-13,2821.929931640625,9530.400390625
2018-08-14,2839.9599609375,9507.0
2018-08-15,2818.3701171875,9386.7998046875
2018-08-16,2840.68994140625,9427.400390625
2018-08-17,2850.1298828125,9417.2998046875
2018-08-20,2857.050048828125,9468.599609375
2018-08-21,2862.9599609375,9549.0
2018-08-22,2861.820068359375,9580.2001953125
2018-08-23,2856.97998046875,9567.2998046875
2018-08-24,2874.68994140625,9589.5
2018-08-27,2896.739990234375,9659.7998046875
2018-08-28,2897.52001953125,9606.5
2018-08-29,2914.0400390625,9569.5
2018-08-30,2901.1298828125,9467.599609375
2018-08-31,2901.52001953125,9399.099609375
2018-09-04,2896.719970703125,9376.2998046875
2018-09-05,2888.60009765625,9301.2998046875
2018-09-06,2878.050048828125,9208.7001953125
2018-09-07,2871.679931640625,9171.2001953125
2018-09-10,2877.1298828125,9270.7998046875
2018-09-11,2887.889892578125,9284.099609375
2018-09-12,2888.919921875,9306.7998046875
2018-09-13,2904.179931640625,9329.2001953125
2018-09-14,2904.97998046875,9365.2998046875
2018-09-17,2888.800048828125,9404.599609375
2018-09-18,2904.31005859375,9447.5
2018-09-19,2907.949951171875,9486.2998046875
2018-09-20,2930.75,9583.7001953125
2018-09-21,2929.669921875,9590.400390625
2018-09-24,2919.3701171875,9512.7998046875
2018-09-25,2915.56005859375,9493.599609375
2018-09-26,2905.969970703125,9524.7998046875
2018-09-27,2914.0,9527.5
2018-09-28,2913.97998046875,9389.2001953125
2018-10-01,2924.590087890625,9407.0
2018-10-02,2923.429931640625,9305.5
2018-10-03,2925.510009765625,9361.099609375
2018-10-04,2901.610107421875,9314.5
2018-10-05,2885.570068359375,9253.900390625
2018-10-08,2884.429931640625,9199.2001953125
2018-10-09,2880.340087890625,9260.5
2018-10-10,2785.679931640625,9162.900390625
2018-10-11,2728.3701171875,9007.900390625
2018-10-12,2767.1298828125,8902.0
2018-10-15,2750.7900390625,8923.7001953125
2018-10-16,2809.919921875,9074.7001953125
2018-10-17,2809.2099609375,8997.2001953125
2018-10-18,2768.780029296875,8889.599609375
2018-10-19,2767.780029296875,8892.099609375
2018-10-22,2755.8798828125,8806.5
2018-10-23,2740.68994140625,8726.099609375
2018-10-24,2656.10009765625,8677.400390625
2018-10-25,2705.570068359375,8785.2001953125
2018-10-26,2658.68994140625,8730.400390625
2018-10-29,2641.25,8821.2001953125
2018-10-30,2682.6298828125,8806.099609375
